id,criteria,baseGameWins,freeGameWins,payoutMultiplier
1,basegame,2.88,0.0,2.88
2,0,0.0,0.0,0.0
3,0,0.0,0.0,0.0
4,0,0.0,0.0,0.0
5,basegame,0.14,0.0,0.14
6,0,0.0,0.0,0.0
7,0,0.0,0.0,0.0
8,0,0.0,0.0,0.0
9,0,0.0,0.0,0.0
10,0,0.0,0.0,0.0
11,0,0.0,0.0,0.0
12,basegame,7.44,0.0,7.44
13,0,0.0,0.0,0.0
14,0,0.0,0.0,0.0
15,0,0.0,0.0,0.0
16,0,0.0,0.0,0.0
17,basegame,29.96,0.0,29.96
18,0,0.0,0.0,0.0
19,0,0.0,0.0,0.0
20,0,0.0,0.0,0.0
21,0,0.0,0.0,0.0
22,freegame,0.0,0.61,0.61
23,0,0.0,0.0,0.0
24,basegame,0.17,0.0,0.17
25,basegame,0.28,0.0,0.28
26,0,0.0,0.0,0.0
27,basegame,1.49,0.0,1.49
28,0,0.0,0.0,0.0
29,0,0.0,0.0,0.0
30,basegame,1.12,0.0,1.12
31,freegame,0.0,0.16,0.16
32,0,0.0,0.0,0.0
33,0,0.0,0.0,0.0
34,0,0.0,0.0,0.0
35,0,0.0,0.0,0.0
36,basegame,0.23,0.0,0.23
37,0,0.0,0.0,0.0
38,0,0.0,0.0,0.0
39,0,0.0,0.0,0.0
40,0,0.0,0.0,0.0
41,0,0.0,0.0,0.0
42,0,0.0,0.0,0.0
43,0,0.0,0.0,0.0
44,basegame,0.14,0.0,0.14
45,0,0.0,0.0,0.0
46,0,0.0,0.0,0.0
47,0,0.0,0.0,0.0
48,0,0.0,0.0,0.0
49,basegame,0.56,0.0,0.56
50,basegame,5.06,0.0,5.06
51,0,0.0,0.0,0.0
52,0,0.0,0.0,0.0
53,0,0.0,0.0,0.0
54,0,0.0,0.0,0.0
55,0,0.0,0.0,0.0
56,0,0.0,0.0,0.0
57,freegame,0.0,31.69,31.69
58,0,0.0,0.0,0.0
59,0,0.0,0.0,0.0
60,0,0.0,0.0,0.0
61,0,0.0,0.0,0.0
62,0,0.0,0.0,0.0
63,0,0.0,0.0,0.0
64,0,0.0,0.0,0.0
65,0,0.0,0.0,0.0
66,0,0.0,0.0,0.0
67,basegame,15.42,0.0,15.42
68,0,0.0,0.0,0.0
69,freegame,0.0,8.12,8.12
70,freegame,0.14,0.19,0.33
71,0,0.0,0.0,0.0
72,0,0.0,0.0,0.0
73,0,0.0,0.0,0.0
74,basegame,11.9,0.0,11.9
75,freegame,0.0,9.25,9.25
76,freegame,0.0,4.0,4.0
77,basegame,0.11,0.0,0.11
78,0,0.0,0.0,0.0
79,basegame,0.22,0.0,0.22
80,0,0.0,0.0,0.0
81,0,0.0,0.0,0.0
82,basegame,0.14,0.0,0.14
83,0,0.0,0.0,0.0
84,basegame,0.35,0.0,0.35
85,basegame,2.61,0.0,2.61
86,0,0.0,0.0,0.0
87,0,0.0,0.0,0.0
88,0,0.0,0.0,0.0
89,0,0.0,0.0,0.0
90,0,0.0,0.0,0.0
91,basegame,0.33,0.0,0.33
92,basegame,0.56,0.0,0.56
93,0,0.0,0.0,0.0
94,0,0.0,0.0,0.0
95,0,0.0,0.0,0.0
96,0,0.0,0.0,0.0
97,0,0.0,0.0,0.0
98,0,0.0,0.0,0.0
99,basegame,14.44,0.0,14.44
100,0,0.0,0.0,0.0
101,basegame,0.17,0.0,0.17
102,0,0.0,0.0,0.0
103,0,0.0,0.0,0.0
104,0,0.0,0.0,0.0
105,0,0.0,0.0,0.0
106,basegame,0.17,0.0,0.17
107,0,0.0,0.0,0.0
108,basegame,3.26,0.0,3.26
109,0,0.0,0.0,0.0
