id,criteria,baseGameWins,freeGameWins,payoutMultiplier
1,freegame,0.0,208.02,208.02
2,freegame,0.0,160.97,160.97
3,freegame,0.0,329.71,329.71
4,freegame,0.0,0.08,0.08
5,freegame,0.0,87.39,87.39
6,freegame,0.0,114.77,114.77
7,freegame,0.0,0.0,0.0
8,freegame,0.0,98.98,98.98
9,freegame,0.0,117.92,117.92
10,freegame,0.0,302.21,302.21
11,freegame,0.0,204.45,204.45
12,freegame,0.0,32.7,32.7
13,freegame,0.0,11.81,11.81
14,freegame,0.0,1.09,1.09
15,freegame,0.0,3.74,3.74
16,freegame,0.0,80.69,80.69
17,freegame,0.0,0.35,0.35
18,freegame,0.0,35.55,35.55
19,freegame,0.0,31.33,31.33
20,freegame,0.0,5.39,5.39
21,freegame,0.0,174.38,174.38
22,freegame,0.0,85.3,85.3
23,freegame,0.0,359.56,359.56
24,freegame,0.0,225.27,225.27
25,freegame,0.0,2.81,2.81
26,freegame,0.0,30.09,30.09
27,freegame,0.0,1.0,1.0
28,freegame,0.0,258.49,258.49
29,freegame,0.0,6.67,6.67
30,freegame,0.0,29.64,29.64
31,freegame,0.0,5.14,5.14
32,freegame,0.0,132.22,132.22
33,freegame,0.0,174.52,174.52
34,freegame,0.0,404.18,404.18
35,freegame,0.0,1.17,1.17
36,freegame,0.0,73.19,73.19
37,freegame,0.0,241.17,241.17
38,freegame,0.0,2.04,2.04
39,freegame,0.0,24.9,24.9
40,freegame,0.0,45.38,45.38
41,freegame,0.0,176.4,176.4
42,freegame,0.0,66.09,66.09
43,freegame,0.0,172.24,172.24
44,freegame,0.0,0.37,0.37
45,freegame,0.0,196.28,196.28
46,freegame,0.0,254.55,254.55
47,freegame,0.0,150.59,150.59
48,freegame,0.0,212.93,212.93
49,freegame,0.0,209.22,209.22
50,freegame,0.0,185.09,185.09
51,freegame,0.0,52.11,52.11
52,freegame,0.0,203.18,203.18
53,freegame,0.0,0.19,0.19
54,freegame,0.0,2.12,2.12
55,freegame,0.0,0.17,0.17
56,freegame,0.0,68.97,68.97
57,freegame,0.0,5.61,5.61
58,freegame,0.0,43.25,43.25
59,freegame,0.0,8.93,8.93
60,freegame,0.0,0.03,0.03
61,freegame,0.0,61.43,61.43
62,freegame,0.0,222.14,222.14
63,freegame,0.0,54.34,54.34
64,freegame,0.0,204.67,204.67
65,freegame,0.0,0.08,0.08
66,freegame,0.0,24.8,24.8
67,freegame,0.0,0.09,0.09
68,freegame,0.0,40.83,40.83
69,freegame,0.0,3.99,3.99
70,freegame,0.0,105.75,105.75
71,freegame,0.0,11.14,11.14
72,freegame,0.0,27.42,27.42
73,freegame,0.0,286.73,286.73
74,freegame,0.0,6.04,6.04
75,freegame,0.0,318.19,318.19
76,freegame,0.0,0.68,0.68
77,freegame,0.0,246.83,246.83
78,freegame,0.0,14.61,14.61
79,freegame,0.0,33.37,33.37
80,freegame,0.0,13.03,13.03
81,freegame,0.0,19.26,19.26
82,freegame,0.0,52.17,52.17
83,freegame,0.0,139.17,139.17
84,freegame,0.0,232.37,232.37
85,freegame,0.0,50.15,50.15
86,freegame,0.0,198.58,198.58
87,freegame,0.0,70.96,70.96
88,freegame,0.0,238.47,238.47
89,freegame,0.0,302.39,302.39
90,freegame,0.0,59.87,59.87
91,freegame,0.0,4.83,4.83
92,freegame,0.0,167.02,167.02
93,freegame,0.0,266.41,266.41
94,freegame,0.0,13.89,13.89
95,freegame,0.0,2.57,2.57
96,freegame,0.0,106.65,106.65
97,freegame,0.0,50.67,50.67
98,freegame,0.0,151.47,151.47
99,freegame,0.0,348.81,348.81
100,freegame,0.0,101.52,101.52
101,freegame,0.0,145.18,145.18
102,freegame,0.0,109.43,109.43
103,freegame,0.0,88.81,88.81
104,freegame,0.0,133.71,133.71
105,freegame,0.0,126.96,126.96
106,freegame,0.0,184.48,184.48
107,freegame,0.0,37.01,37.01
108,freegame,0.0,150.88,150.88
109,freegame,0.0,105.75,105.75
110,freegame,0.0,3.85,3.85
111,freegame,0.0,331.46,331.46
112,freegame,0.0,13.93,13.93
113,freegame,0.0,18.61,18.61
114,freegame,0.0,3.2,3.2
115,freegame,0.0,106.25,106.25
116,freegame,0.0,168.72,168.72
117,freegame,0.0,339.55,339.55
118,freegame,0.0,232.96,232.96
119,freegame,0.0,256.57,256.57
120,freegame,0.0,0.04,0.04
121,freegame,0.0,40.88,40.88
122,freegame,0.0,157.75,157.75
123,freegame,0.0,0.17,0.17
124,freegame,0.0,0.83,0.83
125,freegame,0.0,228.14,228.14
126,freegame,0.0,0.0,0.0
127,freegame,0.0,16.06,16.06
128,freegame,0.0,38.24,38.24
129,freegame,0.0,170.82,170.82
130,freegame,0.0,0.44,0.44
131,freegame,0.0,59.52,59.52
132,freegame,0.0,3.25,3.25
133,freegame,0.0,49.45,49.45
134,freegame,0.0,293.88,293.88
135,freegame,0.0,5.63,5.63
136,freegame,0.0,61.75,61.75
137,freegame,0.0,172.86,172.86
138,freegame,0.0,46.4,46.4
139,freegame,0.0,188.51,188.51
140,freegame,0.0,28.97,28.97
141,freegame,0.0,195.48,195.48
142,freegame,0.0,13.3,13.3
143,freegame,0.0,20.28,20.28
144,freegame,0.0,145.53,145.53
145,freegame,0.0,186.55,186.55
146,freegame,0.0,301.19,301.19
147,freegame,0.0,5.69,5.69
148,freegame,0.0,2.16,2.16
149,freegame,0.0,342.88,342.88
150,freegame,0.0,97.23,97.23
151,freegame,0.0,173.15,173.15
152,freegame,0.0,81.08,81.08
153,freegame,0.0,29.05,29.05
154,freegame,0.0,63.28,63.28
155,freegame,0.0,185.04,185.04
156,freegame,0.0,282.53,282.53
157,freegame,0.0,130.09,130.09
158,freegame,0.0,16.77,16.77
159,freegame,0.0,301.99,301.99
160,freegame,0.0,305.95,305.95
161,freegame,0.0,80.26,80.26
162,freegame,0.0,47.8,47.8
163,freegame,0.0,4.46,4.46
164,freegame,0.0,140.11,140.11
165,freegame,0.0,105.84,105.84
166,freegame,0.0,22.3,22.3
167,freegame,0.0,208.47,208.47
168,freegame,0.0,281.55,281.55
169,freegame,0.0,214.98,214.98
170,freegame,0.0,0.48,0.48
171,freegame,0.0,142.29,142.29
172,freegame,0.0,17.67,17.67
173,freegame,0.0,238.26,238.26
174,freegame,0.0,134.45,134.45
175,freegame,0.0,117.77,117.77
176,freegame,0.0,122.42,122.42
177,freegame,0.0,30.7,30.7
178,freegame,0.0,19.38,19.38
179,freegame,0.0,33.99,33.99
180,freegame,0.0,24.88,24.88
181,freegame,0.0,32.96,32.96
182,freegame,0.0,0.07,0.07
183,freegame,0.0,46.24,46.24
184,freegame,0.0,120.46,120.46
185,freegame,0.0,190.44,190.44
186,freegame,0.0,87.54,87.54
187,freegame,0.0,189.73,189.73
188,freegame,0.0,0.58,0.58
189,freegame,0.0,25.08,25.08
190,freegame,0.0,84.96,84.96
191,freegame,0.0,333.1,333.1
192,freegame,0.0,218.29,218.29
193,freegame,0.0,0.0,0.0
194,freegame,0.0,27.76,27.76
195,freegame,0.0,173.68,173.68
196,freegame,0.0,55.15,55.15
197,freegame,0.0,72.64,72.64
198,freegame,0.0,156.84,156.84
199,freegame,0.0,220.27,220.27
200,freegame,0.0,28.09,28.09
201,freegame,0.0,119.07,119.07
202,freegame,0.0,31.95,31.95
203,freegame,0.0,3.11,3.11
204,freegame,0.0,80.89,80.89
205,freegame,0.0,0.64,0.64
206,freegame,0.0,71.59,71.59
207,freegame,0.0,191.23,191.23
208,freegame,0.0,57.03,57.03
209,freegame,0.0,2.17,2.17
210,freegame,0.0,351.69,351.69
211,freegame,0.0,324.19,324.19
212,freegame,0.0,0.73,0.73
213,freegame,0.0,58.67,58.67
214,freegame,0.0,25.73,25.73
215,freegame,0.0,239.19,239.19
216,freegame,0.0,154.32,154.32
217,freegame,0.0,109.72,109.72
218,freegame,0.0,36.62,36.62
219,freegame,0.0,194.62,194.62
220,freegame,0.0,145.8,145.8
221,freegame,0.0,14.33,14.33
222,freegame,0.0,24.93,24.93
223,freegame,0.0,90.19,90.19
224,freegame,0.0,143.38,143.38
225,freegame,0.0,1.74,1.74
226,freegame,0.0,22.46,22.46
227,freegame,0.0,69.37,69.37
228,freegame,0.0,111.07,111.07
229,freegame,0.0,296.53,296.53
230,freegame,0.0,2.1,2.1
231,freegame,0.0,313.48,313.48
232,freegame,0.0,289.39,289.39
233,freegame,0.0,213.47,213.47
234,freegame,0.0,64.76,64.76
235,freegame,0.0,2.27,2.27
236,freegame,0.0,331.32,331.32
237,freegame,0.0,4.38,4.38
238,freegame,0.0,1.64,1.64
239,freegame,0.0,0.99,0.99
240,freegame,0.0,42.72,42.72
241,freegame,0.0,344.28,344.28
242,freegame,0.0,0.38,0.38
243,freegame,0.0,259.12,259.12
244,freegame,0.0,156.76,156.76
245,freegame,0.0,258.98,258.98
246,freegame,0.0,334.43,334.43
247,freegame,0.0,0.0,0.0
248,freegame,0.0,187.31,187.31
249,freegame,0.0,53.42,53.42
250,freegame,0.0,39.53,39.53
251,freegame,0.0,137.68,137.68
252,freegame,0.0,0.62,0.62
253,freegame,0.0,109.74,109.74
254,freegame,0.0,105.58,105.58
255,freegame,0.0,204.42,204.42
256,freegame,0.0,41.27,41.27
257,freegame,0.0,105.46,105.46
258,freegame,0.0,32.05,32.05
259,freegame,0.0,196.86,196.86
260,freegame,0.0,223.91,223.91
261,freegame,0.0,6.03,6.03
262,freegame,0.0,200.39,200.39
263,freegame,0.0,58.19,58.19
264,freegame,0.0,118.02,118.02
265,freegame,0.0,196.12,196.12
266,freegame,0.0,18.56,18.56
267,freegame,0.0,222.25,222.25
268,freegame,0.0,98.68,98.68
269,freegame,0.0,281.69,281.69
270,freegame,0.0,0.22,0.22
271,freegame,0.0,93.34,93.34
272,freegame,0.0,95.13,95.13
273,freegame,0.0,201.24,201.24
274,freegame,0.0,171.79,171.79
275,freegame,0.0,26.54,26.54
276,freegame,0.0,0.26,0.26
277,freegame,0.0,6.58,6.58
278,freegame,0.0,165.59,165.59
279,freegame,0.0,261.58,261.58
280,freegame,0.0,324.52,324.52
281,freegame,0.0,35.43,35.43
282,freegame,0.0,35.63,35.63
283,freegame,0.0,18.48,18.48
284,freegame,0.0,1.51,1.51
285,freegame,0.0,0.14,0.14
286,freegame,0.0,46.88,46.88
287,freegame,0.0,14.24,14.24
288,freegame,0.0,61.21,61.21
289,freegame,0.0,20.18,20.18
290,freegame,0.0,93.7,93.7
291,freegame,0.0,9.87,9.87
292,freegame,0.0,36.02,36.02
293,freegame,0.0,26.25,26.25
294,freegame,0.0,237.59,237.59
295,freegame,0.0,334.48,334.48
296,freegame,0.0,332.61,332.61
297,freegame,0.0,21.84,21.84
298,freegame,0.0,107.78,107.78
299,freegame,0.0,300.97,300.97
300,freegame,0.0,2.38,2.38
301,freegame,0.0,1.56,1.56
302,freegame,0.0,69.29,69.29
303,freegame,0.0,0.8,0.8
304,freegame,0.0,21.15,21.15
305,freegame,0.0,0.61,0.61
306,freegame,0.0,241.98,241.98
307,freegame,0.0,206.71,206.71
308,freegame,0.0,0.12,0.12
309,freegame,0.0,76.99,76.99
310,freegame,0.0,305.49,305.49
311,freegame,0.0,18.72,18.72
312,freegame,0.0,18.48,18.48
313,freegame,0.0,8.1,8.1
314,freegame,0.0,144.09,144.09
315,freegame,0.0,190.84,190.84
316,freegame,0.0,76.64,76.64
317,freegame,0.0,71.97,71.97
318,freegame,0.0,0.24,0.24
319,freegame,0.0,171.49,171.49
320,freegame,0.0,85.29,85.29
321,freegame,0.0,300.3,300.3
322,freegame,0.0,285.32,285.32
323,freegame,0.0,36.12,36.12
324,freegame,0.0,72.52,72.52
325,freegame,0.0,162.33,162.33
326,freegame,0.0,60.04,60.04
327,freegame,0.0,155.8,155.8
328,freegame,0.0,178.14,178.14
329,freegame,0.0,204.54,204.54
330,freegame,0.0,186.3,186.3
331,freegame,0.0,47.1,47.1
332,freegame,0.0,119.9,119.9
333,freegame,0.0,0.02,0.02
334,freegame,0.0,128.93,128.93
335,freegame,0.0,112.46,112.46
336,freegame,0.0,282.7,282.7
337,freegame,0.0,24.9,24.9
338,freegame,0.0,12.24,12.24
339,freegame,0.0,391.19,391.19
340,freegame,0.0,194.21,194.21
341,freegame,0.0,39.54,39.54
342,freegame,0.0,0.1,0.1
343,freegame,0.0,210.2,210.2
344,freegame,0.0,204.73,204.73
345,freegame,0.0,0.88,0.88
346,freegame,0.0,178.56,178.56
347,freegame,0.0,179.12,179.12
348,freegame,0.0,109.52,109.52
349,freegame,0.0,235.81,235.81
350,freegame,0.0,41.0,41.0
351,freegame,0.0,145.4,145.4
352,freegame,0.0,208.3,208.3
353,freegame,0.0,269.49,269.49
354,freegame,0.0,10.19,10.19
355,freegame,0.0,2.8,2.8
356,freegame,0.0,298.54,298.54
357,freegame,0.0,38.79,38.79
358,freegame,0.0,67.18,67.18
359,freegame,0.0,120.56,120.56
360,freegame,0.0,0.51,0.51
361,freegame,0.0,245.7,245.7
362,freegame,0.0,212.09,212.09
363,freegame,0.0,247.38,247.38
364,freegame,0.0,0.0,0.0
365,freegame,0.0,41.42,41.42
366,freegame,0.0,20.39,20.39
367,freegame,0.0,5.7,5.7
368,freegame,0.0,240.04,240.04
369,freegame,0.0,106.79,106.79
370,freegame,0.0,3.12,3.12
371,freegame,0.0,261.52,261.52
372,freegame,0.0,4.7,4.7
373,freegame,0.0,47.78,47.78
374,freegame,0.0,0.03,0.03
375,freegame,0.0,176.45,176.45
376,freegame,0.0,65.43,65.43
377,freegame,0.0,1.11,1.11
378,freegame,0.0,60.29,60.29
