id,probability,payoutMultiplier
1,1000000,208.02
2,1000000,160.97
3,1000000,329.71
4,1000000,0.08
5,1000000,87.39
6,1000000,114.77
7,1000000,0.0
8,1000000,98.98
9,1000000,117.92
10,1000000,302.21
11,1000000,204.45
12,1000000,32.7
13,1000000,11.81
14,1000000,1.09
15,1000000,3.74
16,1000000,80.69
17,1000000,0.35
18,1000000,35.55
19,1000000,31.33
20,1000000,5.39
21,1000000,174.38
22,1000000,85.3
23,1000000,359.56
24,1000000,225.27
25,1000000,2.81
26,1000000,30.09
27,1000000,1.0
28,1000000,258.49
29,1000000,6.67
30,1000000,29.64
31,1000000,5.14
32,1000000,132.22
33,1000000,174.52
34,1000000,404.18
35,1000000,1.17
36,1000000,73.19
37,1000000,241.17
38,1000000,2.04
39,1000000,24.9
40,1000000,45.38
41,1000000,176.4
42,1000000,66.09
43,1000000,172.24
44,1000000,0.37
45,1000000,196.28
46,1000000,254.55
47,1000000,150.59
48,1000000,212.93
49,1000000,209.22
50,1000000,185.09
51,1000000,52.11
52,1000000,203.18
53,1000000,0.19
54,1000000,2.12
55,1000000,0.17
56,1000000,68.97
57,1000000,5.61
58,1000000,43.25
59,1000000,8.93
60,1000000,0.03
61,1000000,61.43
62,1000000,222.14
63,1000000,54.34
64,1000000,204.67
65,1000000,0.08
66,1000000,24.8
67,1000000,0.09
68,1000000,40.83
69,1000000,3.99
70,1000000,105.75
71,1000000,11.14
72,1000000,27.42
73,1000000,286.73
74,1000000,6.04
75,1000000,318.19
76,1000000,0.68
77,1000000,246.83
78,1000000,14.61
79,1000000,33.37
80,1000000,13.03
81,1000000,19.26
82,1000000,52.17
83,1000000,139.17
84,1000000,232.37
85,1000000,50.15
86,1000000,198.58
87,1000000,70.96
88,1000000,238.47
89,1000000,302.39
90,1000000,59.87
91,1000000,4.83
92,1000000,167.02
93,1000000,266.41
94,1000000,13.89
95,1000000,2.57
96,1000000,106.65
97,1000000,50.67
98,1000000,151.47
99,1000000,348.81
100,1000000,101.52
101,1000000,145.18
102,1000000,109.43
103,1000000,88.81
104,1000000,133.71
105,1000000,126.96
106,1000000,184.48
107,1000000,37.01
108,1000000,150.88
109,1000000,105.75
110,1000000,3.85
111,1000000,331.46
112,1000000,13.93
113,1000000,18.61
114,1000000,3.2
115,1000000,106.25
116,1000000,168.72
117,1000000,339.55
118,1000000,232.96
119,1000000,256.57
120,1000000,0.04
121,1000000,40.88
122,1000000,157.75
123,1000000,0.17
124,1000000,0.83
125,1000000,228.14
126,1000000,0.0
127,1000000,16.06
128,1000000,38.24
129,1000000,170.82
130,1000000,0.44
131,1000000,59.52
132,1000000,3.25
133,1000000,49.45
134,1000000,293.88
135,1000000,5.63
136,1000000,61.75
137,1000000,172.86
138,1000000,46.4
139,1000000,188.51
140,1000000,28.97
141,1000000,195.48
142,1000000,13.3
143,1000000,20.28
144,1000000,145.53
145,1000000,186.55
146,1000000,301.19
147,1000000,5.69
148,1000000,2.16
149,1000000,342.88
150,1000000,97.23
151,1000000,173.15
152,1000000,81.08
153,1000000,29.05
154,1000000,63.28
155,1000000,185.04
156,1000000,282.53
157,1000000,130.09
158,1000000,16.77
159,1000000,301.99
160,1000000,305.95
161,1000000,80.26
162,1000000,47.8
163,1000000,4.46
164,1000000,140.11
165,1000000,105.84
166,1000000,22.3
167,1000000,208.47
168,1000000,281.55
169,1000000,214.98
170,1000000,0.48
171,1000000,142.29
172,1000000,17.67
173,1000000,238.26
174,1000000,134.45
175,1000000,117.77
176,1000000,122.42
177,1000000,30.7
178,1000000,19.38
179,1000000,33.99
180,1000000,24.88
181,1000000,32.96
182,1000000,0.07
183,1000000,46.24
184,1000000,120.46
185,1000000,190.44
186,1000000,87.54
187,1000000,189.73
188,1000000,0.58
189,1000000,25.08
190,1000000,84.96
191,1000000,333.1
192,1000000,218.29
193,1000000,0.0
194,1000000,27.76
195,1000000,173.68
196,1000000,55.15
197,1000000,72.64
198,1000000,156.84
199,1000000,220.27
200,1000000,28.09
201,1000000,119.07
202,1000000,31.95
203,1000000,3.11
204,1000000,80.89
205,1000000,0.64
206,1000000,71.59
207,1000000,191.23
208,1000000,57.03
209,1000000,2.17
210,1000000,351.69
211,1000000,324.19
212,1000000,0.73
213,1000000,58.67
214,1000000,25.73
215,1000000,239.19
216,1000000,154.32
217,1000000,109.72
218,1000000,36.62
219,1000000,194.62
220,1000000,145.8
221,1000000,14.33
222,1000000,24.93
223,1000000,90.19
224,1000000,143.38
225,1000000,1.74
226,1000000,22.46
227,1000000,69.37
228,1000000,111.07
229,1000000,296.53
230,1000000,2.1
231,1000000,313.48
232,1000000,289.39
233,1000000,213.47
234,1000000,64.76
235,1000000,2.27
236,1000000,331.32
237,1000000,4.38
238,1000000,1.64
239,1000000,0.99
240,1000000,42.72
241,1000000,344.28
242,1000000,0.38
243,1000000,259.12
244,1000000,156.76
245,1000000,258.98
246,1000000,334.43
247,1000000,0.0
248,1000000,187.31
249,1000000,53.42
250,1000000,39.53
251,1000000,137.68
252,1000000,0.62
253,1000000,109.74
254,1000000,105.58
255,1000000,204.42
256,1000000,41.27
257,1000000,105.46
258,1000000,32.05
259,1000000,196.86
260,1000000,223.91
261,1000000,6.03
262,1000000,200.39
263,1000000,58.19
264,1000000,118.02
265,1000000,196.12
266,1000000,18.56
267,1000000,222.25
268,1000000,98.68
269,1000000,281.69
270,1000000,0.22
271,1000000,93.34
272,1000000,95.13
273,1000000,201.24
274,1000000,171.79
275,1000000,26.54
276,1000000,0.26
277,1000000,6.58
278,1000000,165.59
279,1000000,261.58
280,1000000,324.52
281,1000000,35.43
282,1000000,35.63
283,1000000,18.48
284,1000000,1.51
285,1000000,0.14
286,1000000,46.88
287,1000000,14.24
288,1000000,61.21
289,1000000,20.18
290,1000000,93.7
291,1000000,9.87
292,1000000,36.02
293,1000000,26.25
294,1000000,237.59
295,1000000,334.48
296,1000000,332.61
297,1000000,21.84
298,1000000,107.78
299,1000000,300.97
300,1000000,2.38
301,1000000,1.56
302,1000000,69.29
303,1000000,0.8
304,1000000,21.15
305,1000000,0.61
306,1000000,241.98
307,1000000,206.71
308,1000000,0.12
309,1000000,76.99
310,1000000,305.49
311,1000000,18.72
312,1000000,18.48
313,1000000,8.1
314,1000000,144.09
315,1000000,190.84
316,1000000,76.64
317,1000000,71.97
318,1000000,0.24
319,1000000,171.49
