reel_1,reel_2,reel_3,reel_4,reel_5,reel_6
Q,Q,Q,LS,Q,T
Q,K,K,K,LS,LS
K,TO,WS,K,TO,K
Q,K,WS,T,WD,Q
J,T,LS,T,WD,Q
J,T,Q,IY,Q,IY
LS,T,K,Q,TO,K
WS,Q,IS,TO,T,IS
T,Q,T,J,Q,J
TO,J,T,K,IS,K
J,K,WD,Q,TO,K
J,Q,TO,LS,T,K
K,IY,IS,WD,TO,Q
K,WD,WD,J,Q,J
Q,T,Q,WS,Q,IS
J,IY,K,WD,J,J
IY,K,Q,K,J,T
T,TO,J,T,Q,J
TO,J,J,IY,IY,Q
T,J,TO,T,T,WS
LS,K,T,T,IS,K
T,IS,IY,TO,LS,K
WS,IY,K,IS,WS,J
K,Q,J,K,LS,J
IY,IY,IS,Q,T,WS
Q,LS,WS,TO,J,K
K,WS,T,IY,J,T
K,J,T,J,Q,WS
IY,J,K,K,WS,TO
WS,WS,J,Q,T,IY
K,IS,Q,J,T,J
J,WD,WD,IS,K,Q
IS,K,Q,T,IY,TO
IS,T,T,LS,LS,Q
Q,LS,IY,K,WD,LS
J,WS,LS,J,IY,T
K,J,J,Q,T,TO
TO,T,J,WS,T,WS
J,T,LS,IS,K,IY
Q,K,K,WD,K,TO
LS,T,WS,IY,K,LS
Q,LS,K,IS,K,T
Q,T,J,T,T,WS
J,Q,TO,J,J,IS
J,LS,K,J,K,J
T,WD,K,WD,K,IY
WS,J,Q,T,LS,LS
TO,T,J,WS,Q,J
T,J,IY,LS,Q,T
T,K,TO,K,IS,IY
K,Q,IY,WS,K,T
IS,J,WD,TO,J,T
IY,Q,J,LS,IY,T
T,WS,Q,Q,WS,T
IS,IS,Q,Q,IS,IS
LS,K,LS,Q,J,IS
K,Q,J,K,K,LS
Q,LS,T,Q,WS,Q
T,TO,IS,J,K,K
T,WD,T,T,J,Q
,TO,LS,Q,J,Q
,IS,T,J,WD,J
,,,,,TO
,,,,,K
,,,,,Q
